BridgeID,Location,Type,Age,Span_m,Width_m,Material,CurrentLoad_kN,DesignCapacity_kN,YearBuilt,NoOfSpans,Latitude,Longitude,Temperature_C,Humidity_pct,Stress_MPa,Strain_micro,Vibration_Hz,CrackWidth_mm,Corrosion,LastInspection,NextInspection
B-1024,River Side Area,Beam Bridge,25,120,12.5,Steel & Concrete,3500,5000,2000,6,28.6139,77.2090,32,58,118,210,4.1,0.6,Low,2026-02-10,2026-08-10
B-1018,City Overpass,Cantilever,18,95,11,Steel,2800,3600,2004,5,19.0760,72.8777,30,64,142,260,5.4,1.1,Medium,2026-03-02,2026-09-02
B-1005,Hill Station Road,Suspension,32,180,13,Steel,4200,4800,1995,8,30.7333,79.0667,18,72,166,320,6.8,2.3,High,2025-11-20,2026-05-20
B-0992,Sea Link Road,Arch Bridge,20,130,14,Concrete,5100,5600,2008,7,13.0827,80.2707,31,80,171,300,5.9,1.8,Medium,2026-01-15,2026-07-15
B-0981,Village Road,Truss Bridge,12,80,10.5,Steel & Concrete,2300,3000,2015,4,26.9124,75.7873,29,50,96,175,3.2,0.3,Low,2026-04-05,2026-10-05
B-1100,Coastal Route,Beam Bridge,22,110,12,Concrete,3400,4500,2003,5,15.2993,74.1240,33,76,128,230,4.6,1.4,Medium,2026-02-28,2026-08-28
B-1122,Forest Pass,Suspension,28,200,15,Steel,4700,5300,1998,10,11.0168,76.9558,24,68,158,290,6.1,2.0,High,2025-12-12,2026-06-12
B-1145,Metro Link,Cable-Stayed,16,145,13.5,Steel,3100,4200,2010,6,22.5726,88.3639,27,55,110,205,3.9,0.7,Low,2026-03-18,2026-09-18
B-1160,South Valley,Cable-Stayed,14,160,14,Steel & Concrete,3800,5200,2012,7,17.3850,78.4867,26,60,121,215,4.3,0.5,Low,2026-04-22,2026-10-22
B-1178,Lake Crossing,Arch Bridge,19,108,12,Stone & Steel,3200,4100,2006,5,23.2599,77.4126,29,62,133,225,4.8,1.2,Medium,2026-01-30,2026-07-30
B-1189,Desert Path,Beam Bridge,23,88,10.8,Concrete,2550,3300,2001,4,26.2389,73.0243,36,40,101,190,3.6,1.0,Medium,2026-02-16,2026-08-16
B-1195,Ocean Avenue,Cantilever,30,150,13.2,Steel,4900,5400,1997,9,9.9312,76.2673,32,78,169,315,6.5,2.5,High,2025-10-25,2026-04-25
